Date,Open,High,Low,Close
25-10-2023,21982.55,22204.6,21917.5,22146.65
26-10-2023,22064.85,22120.9,21931.7,22023.35
27-10-2023,21990.1,22123.7,21916.55,22055.7
28-10-2023,21946.45,21978.3,21793.1,21817.45
29-10-2023,21843.9,21930.9,21710.2,21839.1
30-10-2023,21989.9,22080.95,21941.3,22011.95
31-10-2023,21932.2,22180.7,21883.3,22096.75
01-11-2023,21947.9,22073.2,21947.55,22004.7
02-11-2023,22053.95,22193.6,22052.85,22123.65
03-11-2023,22163.6,22516,22163.6,22326.9
04-11-2023,22455,22529.95,22427.75,22462
05-11-2023,22458.8,22497.6,22388.15,22453.3
06-11-2023,22385.7,22521.1,22346.5,22434.65
07-11-2023,22592.1,22619,22303.8,22514.65
08-11-2023,22486.4,22537.6,22427.6,22513.7
09-11-2023,22578.35,22697.3,22550.35,22666.3
10-11-2023,22765.1,22768.4,22612.25,22642.75
11-11-2023,22720.25,22775.7,22673.7,22753.8
12-11-2023,22677.4,22726.45,22503.75,22519.4
13-11-2023,22339.05,22427.45,22259.55,22272.5
14-11-2023,22125.3,22213.75,22079.45,22147.9
15-11-2023,22212.35,22326.5,21961.7,21995.85
16-11-2023,21861.5,22179.55,21777.65,22147
17-11-2023,22336.9,22375.65,22198.15,22336.4
18-11-2023,22447.05,22447.55,22349.45,22368
19-11-2023,22421.55,22476.45,22384,22402.4
20-11-2023,22316.9,22625.95,22305.25,22570.35
21-11-2023,22620.4,22620.4,22385.55,22419.95
22-11-2023,22475.55,22655.8,22441.9,22643.4
23-11-2023,22679.65,22783.35,22568.4,22604.85
24-11-2023,22567.85,22710.5,22567.85,22648.2
25-11-2023,22766.35,22794.7,22348.05,22475.85
26-11-2023,22561.6,22588.8,22409.45,22442.7
27-11-2023,22489.75,22499.05,22232.05,22302.5
28-11-2023,22231.2,22368.65,22185.2,22302.5
29-11-2023,22224.8,22307.75,21932.4,21957.5
30-11-2023,21990.95,22131.3,21950.3,22055.2
01-12-2023,22027.95,22131.65,21821.05,22104.05
02-12-2023,22112.9,22270.05,22081.25,22217.85
03-12-2023,22255.6,22297.55,22151.75,22200.55
04-12-2023,22319.2,22432.25,22054.55,22403.85
05-12-2023,22415.25,22502.15,22345.65,22466.1
06-12-2023,22512.85,22520.25,22470.05,22502
07-12-2023,22404.55,22591.1,22404.55,22529.05
08-12-2023,22576.6,22629.5,22483.15,22597.8
09-12-2023,22614.1,22993.6,22577.45,22967.65
10-12-2023,22930.75,23026.4,22908,22957.1
11-12-2023,23038.95,23110.8,22871.2,22932.45
12-12-2023,22977.15,22998.55,22858.5,22888.15
13-12-2023,22762.75,22825.5,22685.45,22704.7
14-12-2023,22617.45,22705.75,22417,22488.65
15-12-2023,22568.1,22653.75,22465.1,22530.7
16-12-2023,23337.9,23338.7,23062.3,23263.9
17-12-2023,23179.5,23179.5,21281.45,21884.5
18-12-2023,22128.35,22670.4,21791.95,22620.35
19-12-2023,22798.6,22910.15,22642.6,22821.4
20-12-2023,22821.85,23320.2,22789.05,23290.15
21-12-2023,23319.15,23411.9,23227.15,23259.2
